Dataset {
    Sequence {
        String time;
        Float64 GFF_CHL;
        Float64 urea_uM;
        Float64 ammonium_uM;
        Float64 nitrate_uM;
        Float64 phosphate_uM;
        Float64 silicate_uM;
        Int16 Pn_abundance;
        Float64 Paustralis;
        Float64 Pmultiseries;
        Float64 Alexandrium;
    } CPMT_SCWHARF;
} CPMT2;
---------------------------------------------
CPMT_SCWHARF.time, CPMT_SCWHARF.GFF_CHL, CPMT_SCWHARF.urea_uM, CPMT_SCWHARF.ammonium_uM, CPMT_SCWHARF.nitrate_uM, CPMT_SCWHARF.phosphate_uM, CPMT_SCWHARF.silicate_uM, CPMT_SCWHARF.Pn_abundance, CPMT_SCWHARF.Paustralis, CPMT_SCWHARF.Pmultiseries, CPMT_SCWHARF.Alexandrium
"2007-06-13 07:30:00.0", 15.5938, 0.117924528301887, 0.16, 2.728, 0.1462, 11.6, 2, 0.0, 0.0, 520.0
"2007-06-13 07:30:00.0", 17.0243, NaN, NaN, NaN, NaN, NaN, 0, NaN, NaN, NaN
"2007-06-20 09:00:00.0", 5.5583, 0.55188679245283, 3.77, 4.766, 0.9788, 16.06, 3, 0.0, 0.0, 50.0
"2007-06-27 09:00:00.0", 9.0199, 0.239093484419263, 0.2, 0.22, 0.08, 2.06, 4, 150.0, 0.0, 60.0
"2007-07-03 08:35:00.0", 10.3522, 0.496883852691218, 3.75, 4.75, 0.95, 7.24, 2, 0.0, 0.0, 80.0
"2007-07-11 08:30:00.0", 4.4299, 0.414730878186969, 1.99, 1.86, 0.39, 4.0, 3, 0.0, 0.0, 40.0
"2007-07-18 08:10:00.0", 0.9428, 2.12268370607029, 0.0, 6.52, 1.03, 8.77, 0, 0.0, 0.0, 0.0
"2007-07-25 08:20:00.0", 14.509, 0.055591054313099, 0.0, 0.5, 0.05, 1.51, 0, 0.0, 0.0, 100.0
"2007-08-01 08:34:00.0", 13.4243, -0.0159744408945687, 0.0, 0.32, 0.0, 2.51, 1, 0.0, 0.0, 0.0
"2007-08-08 08:00:00.0", 7.9825, 0.45814696485623, 0.0, 0.24, 0.03, 2.5, 2, 0.0, 0.0, 30.0
"2007-08-15 08:30:00.0", 11.1457, 0.711182108626198, 0.0, 1.21, 0.26, 26.81, 2, 0.0, 0.0, 150.0
"2007-08-22 08:10:00.0", 10.687, 0.286900958466454, 0.0, 3.68, 0.25, 10.39, 2, 0.0, 0.0, 340.0
"2007-08-29 07:42:00.0", 18.6477, 1.40319488817891, 0.0, 1.54, 0.4, 19.62, 0, 0.0, 0.0, 130.0
"2007-09-05 08:20:00.0", 10.465, 0.299680511182109, 0.0, 1.2, 0.4, 15.35, 2, 0.0, 0.0, 100.0
"2007-09-12 08:10:00.0", 12.3614, 0.292638036809816, 0.0, 1.03, 0.17, 12.86, 1, 0.0, 0.0, 270.0
"2007-09-19 08:20:00.0", 6.8141, 0.169325153374233, 0.0, 0.3, 0.15, 12.46, 3, 400.0, 0.0, 30.0
"2007-09-26 07:30:00.0", 10.7344, 0.125153374233129, 0.0, 0.26, 0.12, 12.6, 1, 0.0, 0.0, 0.0
"2007-10-03 07:03:00.0", 11.608, 0.323312883435583, 0.0, 1.02, 0.39, 18.79, 2, 0.0, 0.0, 0.0
"2007-10-10 07:46:00.0", 10.1374, 2.14355828220859, 0.0, 5.76, 1.02, 20.79, 3, 0.0, 0.0, 0.0
"2007-10-17 07:30:00.0", 70.434, 2.22699386503068, 0.0, 0.04, 0.35, 17.82, 2, 0.0, 0.0, 28.5714285714286
"2007-10-24 07:25:00.0", 30.4061, 1.42760736196319, 0.0, 0.25, 0.81, 24.08, 1, 0.0, 0.0, 0.0
"2007-11-07 07:10:00.0", 38.1108, 1.47361963190184, 0.0, 0.03235, 0.8745, 28.58, 0, 0.0, 0.0, 200.0
"2007-11-14 07:10:00.0", 289.0679, 0.38282208588957, 0.0, -0.06648, 1.398, 13.45, 0, 0.0, 0.0, 250.0
