year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,3,31,0.185,0.161,0.723,0.204,1.837,1.718,1.509,0.962,0.974,-0.795,0.458,-0.856,-0.201,-0.089,0.152,0.259,0.312
1988,4,1,0.218,0.054,0.436,-0.269,1.222,0.83,0.861,0.179,-1.027,-1.186,-0.23,-1.04,-0.339,-0.058,0.154,0.176,0.203
1988,4,2,-2.095,-2.296,-1.891,-1.34,-0.453,-0.692,-0.711,-0.377,-0.478,-0.772,0.358,-0.449,-0.259,-0.028,0.037,0.329,0.452
1988,4,3,-0.198,0.274,-0.321,-0.402,0.062,-0.158,-0.314,0.129,0.175,-0.645,0.425,0.678,0.662,0.622,0.193,0.392,0.71
1988,4,4,0.07,-0.004,-0.104,0.118,1.206,0.911,0.729,1.132,1.572,0.815,1.389,1.904,1.498,1.218,0.45,0.421,0.522
1988,4,5,-1.918,-1.406,-1.391,-1.042,-0.171,0.185,0.292,0.86,1.962,0.891,1.356,1.037,0.533,0.407,-0.03,-0,0.154
1988,4,6,0.17,0.565,0.083,-0.331,0.269,0.867,0.043,0.455,1.322,-0.616,0.583,-0.332,0.201,-0.313,-0.224,0.071,0.507
1988,4,7,0.154,0.35,0.527,-0.007,0.634,0.862,0.379,1.015,2.103,0.886,1.943,1.9,2.344,0.725,0.451,0.398,0.618
1988,4,8,0.17,-0.055,-0.202,-0.369,-0.542,-0.376,-0.913,-0.651,0.516,-0.529,1.032,0.874,1.398,0.52,0.238,0.336,0.614
1988,4,9,-0.033,0.384,0.816,0.367,1.039,1.28,0.545,0.464,0.501,-0.788,0.133,-0.682,0.013,0.02,0.117,-0.031,0.249
1988,4,10,-0.001,0.381,0.744,0.672,1.72,2.121,1.205,1.091,0.805,-0.566,0.439,-0.452,0.263,0.112,0.222,-0.047,0.014
1988,4,11,0.774,0.734,1.452,1.163,2.4,2.408,1.869,1.575,1.106,-0.467,0.355,-0.334,0.384,0.216,0.389,0.064,0.262
1988,4,12,0.066,0.029,0.367,0.106,0.934,0.948,0.729,0.452,0.303,-0.632,0.156,-0.377,0.377,0.289,0.274,0.071,0.107
1988,4,13,-0.222,-0.034,0.317,-0.055,0.565,0.715,0.451,0.155,0.056,-0.414,0.2,-0.045,0.544,0.61,0.333,0.012,0.045
1988,4,14,0.412,0.364,0.721,0.41,1.179,1.432,0.639,0.437,0.542,-0.137,-0.344,-0.102,-0.023,0.118,0.023,-0.208,0.112
1988,4,15,0.387,0.133,0.456,0.175,0.712,0.869,0.668,1.173,2.091,0.753,0.243,0.262,0.319,0.133,0.065,-0.097,0.169
1988,4,16,0.29,0.162,0.447,0.199,0.466,0.698,0.318,1.064,1.683,0.811,0.375,1.075,1.226,0.612,0.336,0.182,0.405
1988,4,17,0.143,0.098,0.329,-0.025,0.203,0.394,0.055,0.357,0.648,0.235,0.045,0.658,0.871,0.582,0.366,0.322,0.47
1988,4,18,-0.187,-0.314,-0.423,-0.544,-0.579,0.037,-0.633,-0.687,-0.241,-0.308,-0.402,-0.154,0.236,0.321,0.297,0.432,0.743
1988,4,19,-0.057,-0.08,-0.059,-0.311,-0.319,-0.231,-1.156,-1.385,-1.11,-0.964,-1.008,-0.798,-0.324,-0.201,0.175,0.118,0.205
1988,4,20,0.279,0.382,0.445,0.315,0.605,0.745,0.55,0.129,-0.132,-0.231,-0.402,-0.434,-0.329,-0.114,-0.131,-0.294,-0.389
1988,4,21,0.707,0.663,0.788,0.337,0.606,0.902,0.676,0.592,0.941,0.459,0.143,0.315,0.373,0.158,0.021,0.023,-0.048
1988,4,22,-0.02,-0.001,0.008,-0.153,-0.014,0.509,0.25,0.108,0.703,-0.057,-0.245,0.174,0.446,0.524,0.407,0.404,0.162
1988,4,23,0.618,0.413,0.695,0.506,0.802,0.964,0.512,0.178,0.525,-0.066,-0.042,0.325,0.433,0.423,0.287,0.34,0.325
1988,4,24,0.116,-0.043,-0.107,-0.336,-0.069,0.451,0.187,0.081,0.58,-0.151,-0.024,0.53,0.859,0.379,0.395,0.506,0.386
1988,4,25,-0.36,-0.244,-0.325,-0.432,-0.207,0.338,0.145,0.293,0.805,0.317,0.52,0.998,1.155,0.446,0.342,0.276,0.197
1988,4,26,-0.101,-0.087,-0.138,-0.159,-0.011,0.52,0.145,0.247,0.49,0.045,0.287,0.754,0.519,0.326,0.538,0.401,0.202
1988,4,27,-0.269,-0.151,-0.124,-0.149,-0.016,0.535,0.086,0.199,0.166,-0.325,-0.111,-0.015,0.041,0.099,0.335,0.147,0.152
1988,4,28,-0.983,-0.943,-1.056,-1.042,-1.061,-0.613,-1.496,-0.774,-0.591,-0.53,-0.313,-0.065,-0.071,0.069,0.41,0.071,0.089
1988,4,29,-0.389,-0.175,-0.709,-0.695,-0.667,0.058,-0.158,0.256,0.214,-0.044,0.073,0.411,0.511,0.575,0.614,0.441,0.807
1988,4,30,0.124,0.306,0.155,-0.049,0.404,1.007,0.878,1.717,2.647,2.066,2.096,3.251,3.545,3.291,1.293,1.146,1.465
1988,5,1,0.033,0.117,0.084,-0.039,0.453,0.9,0.807,2.115,3.619,3.117,3.478,4.293,3.303,2.849,2.889,2.374,2.722
1988,5,2,-0.523,-0.326,-0.694,-0.649,-0.162,0.502,0.068,1.279,2.771,1.745,2.199,2.403,2.041,0.784,0.142,0.225,0.152
1988,5,3,0.258,0.417,0.42,-0.081,0.234,0.776,0.522,1.81,2.761,1.313,2.364,2.982,2.769,1.149,0.296,0.258,0.151
1988,5,4,0.432,0.299,0.424,0.08,0.7,1.317,1.08,2.327,3.65,2.143,2.133,2.578,2.715,1.433,1.016,0.559,0.549
1988,5,5,0.56,0.342,0.665,0.486,1.235,1.535,1.358,1.982,1.861,0.125,0.651,0.802,1.132,1.421,1.038,0.519,0.86
1988,5,6,0.501,0.326,0.335,0.192,0.37,-0.246,-0.566,0.106,0.223,-0.35,-0.069,0.018,0.337,0.777,0.825,0.495,0.734
1988,5,7,0.018,0.151,0.259,0.179,0.726,0.704,0.492,0.55,0.41,-0.406,-0.421,-0.476,0.08,0.206,0.769,0.51,1.089
1988,5,8,-0.316,-0.167,-0.244,-0.258,-0.044,-0.192,-0.479,-0.334,-0.134,-0.588,-0.103,-0.065,0.308,-0.088,0.152,0.179,0.294
1988,5,9,-0.69,-0.466,-0.849,-1.086,-1.231,-1.54,-1.826,-1.591,-0.712,-0.497,0.155,0.279,0.397,0.084,0.279,0.471,0.541
