#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 04 05 53 999 99.0 99.0  1.92 11.76  9.59 294 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 06 23 999 99.0 99.0  1.86 13.33  9.45 298 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 04 06 53 999 99.0 99.0  1.84 12.50  9.56 287 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 07 23 999 99.0 99.0  1.68 11.76  9.36 300 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 07 53 999 99.0 99.0  1.73 13.33  9.72 290 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 08 23 999 99.0 99.0  1.76 13.33  9.82 286 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 08 53 999 99.0 99.0  1.81 14.29  9.94 293 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 09 23 999 99.0 99.0  1.60 11.76  9.08 294 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 09 53 999 99.0 99.0  1.70 14.29  9.64 290 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 04 10 23 999 99.0 99.0  1.66 13.33 10.02 297 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 04 10 53 999 99.0 99.0  1.64 13.33  9.96 289 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 04 11 23 999 99.0 99.0  1.61 14.29 10.21 287 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 11 53 999 99.0 99.0  1.67 20.00 10.62 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 12 23 999 99.0 99.0  1.61 20.00 10.44 296 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 12 53 999 99.0 99.0  1.76 20.00 11.12 290 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 13 23 999 99.0 99.0  1.55 13.33 10.18 296 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 13 53 999 99.0 99.0  1.64 20.00 11.13 290 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 14 23 999 99.0 99.0  1.74 18.18 11.55 298 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 14 53 999 99.0 99.0  1.94 18.18 12.38 293 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 04 15 23 999 99.0 99.0  2.02 16.67 12.41 296 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 04 15 53 999 99.0 99.0  2.01 15.38 12.04 293 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 04 16 23 999 99.0 99.0  2.35 16.67 12.83 300 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 04 16 53 999 99.0 99.0  2.26 16.67 13.27 293 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 04 17 23 999 99.0 99.0  2.31 15.38 12.64 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 17 53 999 99.0 99.0  2.35 16.67 13.00 289 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 18 23 999 99.0 99.0  2.17 14.29 11.94 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 04 18 53 999 99.0 99.0  2.44 15.38 12.65 297 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 04 19 23 999 99.0 99.0  2.50 16.67 12.92 287 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 04 19 53 999 99.0 99.0  2.33 16.67 12.54 290 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 20 23 999 99.0 99.0  2.46 14.29 12.53 298 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 20 53 999 99.0 99.0  2.60 14.29 12.81 294 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 04 21 23 999 99.0 99.0  2.70 15.38 13.15 294 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 04 21 53 999 99.0 99.0  2.69 16.67 13.08 294 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 04 22 23 999 99.0 99.0  2.64 14.29 12.95 300 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 04 22 53 999 99.0 99.0  2.55 15.38 13.07 296 9999.0 999.0  12.7 999.0 99.0 99.00
