Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2011-10-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2018-07-19 22:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Thu, 19 Jul 2018 22:49:35 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2012,11,21,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3.76,6.57,6.96,6.18,250,1000,0.06,NaN,0.78,NaN,NaN,NaN,NaN,1.22,NaN,NaN,3850,10.44,NaN,14.1
2012,11,28,16:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.09,16.73,16.59,16.87,250,900,0,NaN,0.21,NaN,NaN,NaN,NaN,1.39,NaN,NaN,0,12.4,NaN,13.7
2012,12,5,16:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3,5.66,6.21,5.1,250,50,0,NaN,6.41,NaN,NaN,NaN,NaN,1.59,NaN,NaN,0,30.05,NaN,14.3
2012,12,12,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,4.71,2.21,2.25,2.17,250,10,0,NaN,3.59,NaN,NaN,NaN,NaN,1.79,NaN,NaN,0,12.08,NaN,13.4
2012,12,19,16:45:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,4.12,2.42,2.35,2.49,250,0,0,NaN,6.7,NaN,NaN,NaN,NaN,2.02,NaN,NaN,0,15.9,NaN,11.2
2013,1,9,16:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.55,2.56,2.67,2.46,250,0,0,NaN,9.12,NaN,NaN,NaN,NaN,1.56,NaN,NaN,0,18.15,NaN,11.1
2013,1,16,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.69,12.43,12.88,11.97,250,20,0,NaN,9.64,NaN,NaN,NaN,NaN,1.52,NaN,NaN,0,14.15,NaN,9.2
2013,1,23,16:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,150,2.06,3.26,3.45,3.07,250,40,0,NaN,1.59,NaN,NaN,NaN,NaN,1.01,NaN,NaN,0,3.7,NaN,10.5
2013,1,30,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,120,4.35,1.2,1.2,1.2,250,20,0,NaN,7.42,NaN,NaN,NaN,NaN,1.66,NaN,NaN,0,10.5,NaN,10.5
2013,2,6,16:15:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,480,2.81,3.47,3.4,3.54,250,70,0,NaN,7.63,NaN,NaN,NaN,NaN,1.46,NaN,NaN,0,9.68,NaN,10.7
2013,2,13,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.56,6.26,6.52,6.01,250,0,0,NaN,6.83,NaN,NaN,NaN,NaN,1.57,NaN,NaN,0,10.65,NaN,10.7
2013,2,20,17:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3.45,6.85,7.07,6.63,250,10,0,NaN,3.5,NaN,NaN,NaN,NaN,1.72,NaN,NaN,750,7.79,NaN,10.7
2013,2,27,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,240,1.21,9.55,9.17,9.94,250,60,0,NaN,0.41,NaN,NaN,NaN,NaN,0.89,NaN,NaN,200,4.17,NaN,10.9
2013,3,6,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.02,14,14.28,13.72,250,20,0,NaN,0.91,NaN,NaN,NaN,NaN,0.97,NaN,NaN,1000,4.21,NaN,11
