#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 06 04 18 04 300 11.3 99.0 99.00 99.00 99.00 999 1013.8  12.3  12.0 999.0 99.0 99.00
2018 06 04 19 04 290 11.8 99.0 99.00 99.00 99.00 999 1013.7  12.3  11.9 999.0 99.0 99.00
2018 06 04 20 04 290 12.4 99.0 99.00 99.00 99.00 999 1013.5  12.4  11.8 999.0 99.0 99.00
2018 06 04 21 04 290 12.4 99.0 99.00 99.00 99.00 999 1012.7  12.7  11.8 999.0 99.0 99.00
2018 06 04 22 04 300 13.4 99.0 99.00 99.00 99.00 999 1012.3  12.7  11.7 999.0 99.0 99.00
2018 06 04 23 04 300 12.4 99.0 99.00 99.00 99.00 999 1012.3  12.8  11.6 999.0 99.0 99.00
2018 06 05 00 04 300 11.8 99.0 99.00 99.00 99.00 999 1012.0  12.9  11.6 999.0 99.0 99.00
2018 06 05 01 04 300 10.8 99.0 99.00 99.00 99.00 999 1011.7  12.7  11.5 999.0 99.0 99.00
2018 06 05 02 04 300 12.9 99.0 99.00 99.00 99.00 999 1011.6  12.7  11.4 999.0 99.0 99.00
2018 06 05 03 04 300 11.3 99.0 99.00 99.00 99.00 999 1012.2  12.7  11.4 999.0 99.0 99.00
2018 06 05 04 04 310  9.3 99.0 99.00 99.00 99.00 999 1012.7  12.5  11.2 999.0 99.0 99.00
2018 06 05 05 04 310  8.8 99.0 99.00 99.00 99.00 999 1013.3  12.2  11.1 999.0 99.0 99.00
2018 06 05 06 04 310  8.2 99.0 99.00 99.00 99.00 999 1013.6  12.1  11.1 999.0 99.0 99.00
2018 06 05 07 04 310  6.7 99.0 99.00 99.00 99.00 999 1013.5  12.0  11.0 999.0 99.0 99.00
2018 06 05 08 04 300  8.8 99.0 99.00 99.00 99.00 999 1013.3  11.9  11.0 999.0 99.0 99.00
2018 06 05 09 04 310  8.2 99.0 99.00 99.00 99.00 999 1013.1  11.9  11.0 999.0 99.0 99.00
2018 06 05 10 04 320  6.7 99.0 99.00 99.00 99.00 999 1013.1  11.8  11.0 999.0 99.0 99.00
2018 06 05 11 04 310  6.2 99.0 99.00 99.00 99.00 999 1013.2  11.7  11.1 999.0 99.0 99.00
2018 06 05 12 04 310  6.2 99.0 99.00 99.00 99.00 999 1013.3  11.6  11.1 999.0 99.0 99.00
2018 06 05 13 04 320  5.1 99.0 99.00 99.00 99.00 999 1013.5  11.5  11.2 999.0 99.0 99.00
2018 06 05 14 04 300  5.1 99.0 99.00 99.00 99.00 999 1013.9  11.6  11.2 999.0 99.0 99.00
2018 06 05 15 04 310  5.1 99.0 99.00 99.00 99.00 999 1014.3  11.7  11.2 999.0 99.0 99.00
2018 06 05 16 04 300  6.2 99.0 99.00 99.00 99.00 999 1014.8  11.8  11.2 999.0 99.0 99.00
2018 06 05 17 04 290  7.2 99.0 99.00 99.00 99.00 999 1014.7  11.9  11.3 999.0 99.0 99.00
2018 06 05 18 04 280  8.2 99.0 99.00 99.00 99.00 999 1014.5  12.1  11.3 999.0 99.0 99.00
2018 06 05 19 04 290  8.8 99.0 99.00 99.00 99.00 999 1014.6  12.1  11.4 999.0 99.0 99.00
2018 06 05 20 04 290  9.3 99.0 99.00 99.00 99.00 999 1014.6  12.4  11.4 999.0 99.0 99.00
2018 06 05 21 04 290  8.8 99.0 99.00 99.00 99.00 999 1014.4  12.3  11.3 999.0 99.0 99.00
2018 06 05 22 04 290 10.3 99.0 99.00 99.00 99.00 999 1013.9  12.4  11.2 999.0 99.0 99.00
2018 06 05 23 04 290 10.3 99.0 99.00 99.00 99.00 999 1013.4  12.3  11.3 999.0 99.0 99.00
2018 06 06 00 04 290 10.3 99.0 99.00 99.00 99.00 999 1012.9  12.4  11.3 999.0 99.0 99.00
2018 06 06 01 04 290 10.8 99.0 99.00 99.00 99.00 999 1012.6  12.3  11.3 999.0 99.0 99.00
2018 06 06 02 04 300 10.8 99.0 99.00 99.00 99.00 999 1012.4  12.3  11.2 999.0 99.0 99.00
2018 06 06 03 04 300 11.3 99.0 99.00 99.00 99.00 999 1012.3  12.3  11.1 999.0 99.0 99.00
2018 06 06 04 04 300  9.8 99.0 99.00 99.00 99.00 999 1012.8  12.1  11.1 999.0 99.0 99.00
2018 06 06 05 04 310  7.7 99.0 99.00 99.00 99.00 999 1013.4  12.0  11.0 999.0 99.0 99.00
2018 06 06 06 04 310  7.2 99.0 99.00 99.00 99.00 999 1013.7  11.8  11.0 999.0 99.0 99.00
2018 06 06 07 04 310  6.7 99.0 99.00 99.00 99.00 999 1013.4  11.9  10.9 999.0 99.0 99.00
2018 06 06 08 04 320  5.7 99.0 99.00 99.00 99.00 999 1013.3  11.8  10.9 999.0 99.0 99.00
2018 06 06 09 04 310  6.2 99.0 99.00 99.00 99.00 999 1013.0  11.8  10.8 999.0 99.0 99.00
2018 06 06 10 04 300  6.2 99.0 99.00 99.00 99.00 999 1012.8  11.8  10.8 999.0 99.0 99.00
2018 06 06 11 04 300  5.7 99.0 99.00 99.00 99.00 999 1012.8  11.8  10.9 999.0 99.0 99.00
2018 06 06 12 04 300  5.1 99.0 99.00 99.00 99.00 999 1013.0  11.5  10.9 999.0 99.0 99.00
2018 06 06 13 04 280  4.1 99.0 99.00 99.00 99.00 999 1013.4  11.7  10.9 999.0 99.0 99.00
2018 06 06 14 04 260  3.1 99.0 99.00 99.00 99.00 999 1013.8  11.7  10.9 999.0 99.0 99.00
2018 06 06 15 04 240  2.6 99.0 99.00 99.00 99.00 999 1014.2  11.8  11.0 999.0 99.0 99.00
2018 06 06 16 04 270  4.1 99.0 99.00 99.00 99.00 999 1014.7  12.0  11.0 999.0 99.0 99.00
2018 06 06 17 04 270  4.6 99.0 99.00 99.00 99.00 999 1015.0  12.0  11.0 999.0 99.0 99.00
2018 06 06 18 04 260  4.6 99.0 99.00 99.00 99.00 999 1015.0  12.1  11.1 999.0 99.0 99.00
2018 06 06 19 24 260  6.2 99.0 99.00 99.00 99.00 999 1015.0  12.1  11.2 999.0 99.0 99.00
2018 06 06 20 24 250  7.2 99.0 99.00 99.00 99.00 999 1014.8  12.4  11.3 999.0 99.0 99.00
2018 06 06 21 24 260  7.2 99.0 99.00 99.00 99.00 999 1014.5  12.6  11.4 999.0 99.0 99.00
2018 06 06 22 24 250  7.7 99.0 99.00 99.00 99.00 999 1014.3  12.5  11.4 999.0 99.0 99.00
2018 06 06 23 24 260  8.2 99.0 99.00 99.00 99.00 999 1013.7  12.6  11.4 999.0 99.0 99.00
2018 06 07 01 24 260  9.3 99.0 99.00 99.00 99.00 999 1013.8  12.6  11.3 999.0 99.0 99.00
2018 06 07 02 24 270  8.2 99.0 99.00 99.00 99.00 999 1014.2  12.4  11.2 999.0 99.0 99.00
2018 06 07 03 24 270  8.2 99.0 99.00 99.00 99.00 999 1014.1  12.2  11.2 999.0 99.0 99.00
2018 06 07 04 24 280  8.2 99.0 99.00 99.00 99.00 999 1014.1  11.9  11.1 999.0 99.0 99.00
2018 06 07 05 24 280  5.1 99.0 99.00 99.00 99.00 999 1014.5  11.8  11.1 999.0 99.0 99.00
2018 06 07 06 24 280  5.1 99.0 99.00 99.00 99.00 999 1014.8  11.7  11.0 999.0 99.0 99.00
2018 06 07 07 04 280  5.1 99.0 99.00 99.00 99.00 999 1014.8  11.7  11.0 999.0 99.0 99.00
2018 06 07 08 04 270  4.6 99.0 99.00 99.00 99.00 999 1014.7  11.8  11.0 999.0 99.0 99.00
2018 06 07 09 04 250  4.6 99.0 99.00 99.00 99.00 999 1014.8  11.8  11.0 999.0 99.0 99.00
2018 06 07 10 04 270  4.1 99.0 99.00 99.00 99.00 999 1014.6  12.0  11.0 999.0 99.0 99.00
2018 06 07 11 04 280  4.6 99.0 99.00 99.00 99.00 999 1014.6  12.1  11.0 999.0 99.0 99.00
2018 06 07 12 04 290  4.1 99.0 99.00 99.00 99.00 999 1014.7  12.0  11.0 999.0 99.0 99.00
2018 06 07 13 04 280  5.7 99.0 99.00 99.00 99.00 999 1015.2  12.1  11.0 999.0 99.0 99.00
2018 06 07 14 04 290  5.7 99.0 99.00 99.00 99.00 999 1015.9  12.2  11.0 999.0 99.0 99.00
2018 06 07 15 04 310  8.2 99.0 99.00 99.00 99.00 999 1016.8  12.3  11.0 999.0 99.0 99.00
2018 06 07 16 04 300  6.2 99.0 99.00 99.00 99.00 999 1017.4  12.4  11.1 999.0 99.0 99.00
2018 06 07 17 04 300  6.2 99.0 99.00 99.00 99.00 999 1017.6  12.3  11.2 999.0 99.0 99.00
2018 06 07 18 04 280  5.1 99.0 99.00 99.00 99.00 999 1018.1  12.3  11.3 999.0 99.0 99.00
2018 06 07 19 04 280  5.1 99.0 99.00 99.00 99.00 999 1018.4  12.4  11.4 999.0 99.0 99.00
2018 06 07 20 04 280  7.2 99.0 99.00 99.00 99.00 999 1018.3  12.7  11.4 999.0 99.0 99.00
2018 06 07 21 04 280  8.2 99.0 99.00 99.00 99.00 999 1018.3  12.8  11.6 999.0 99.0 99.00
2018 06 07 22 04 280  9.3 99.0 99.00 99.00 99.00 999 1017.8  12.8  11.5 999.0 99.0 99.00
2018 06 07 23 04 280  7.2 99.0 99.00 99.00 99.00 999 1017.9  13.0  11.5 999.0 99.0 99.00
2018 06 08 00 04 290  9.3 99.0 99.00 99.00 99.00 999 1017.1  13.0  11.4 999.0 99.0 99.00
2018 06 08 01 04 300  9.3 99.0 99.00 99.00 99.00 999 1016.8  13.0  11.4 999.0 99.0 99.00
2018 06 08 02 04 300  9.3 99.0 99.00 99.00 99.00 999 1016.7  13.0  11.3 999.0 99.0 99.00
2018 06 08 03 04 300  9.3 99.0 99.00 99.00 99.00 999 1016.8  12.9  11.3 999.0 99.0 99.00
2018 06 08 04 04 300  8.2 99.0 99.00 99.00 99.00 999 1017.2  12.7  11.2 999.0 99.0 99.00
2018 06 08 05 24 300  8.2 99.0 99.00 99.00 99.00 999 1017.9  12.6  11.1 999.0 99.0 99.00
2018 06 08 06 24 300  7.7 99.0 99.00 99.00 99.00 999 1018.0  12.5  11.0 999.0 99.0 99.00
2018 06 08 07 24 310  6.2 99.0 99.00 99.00 99.00 999 1017.7  12.2  11.0 999.0 99.0 99.00
2018 06 08 08 24 310  4.1 99.0 99.00 99.00 99.00 999 1017.4  11.8  11.0 999.0 99.0 99.00
2018 06 08 09 24 320  4.1 99.0 99.00 99.00 99.00 999 1017.5  11.8  11.0 999.0 99.0 99.00
2018 06 08 10 24 280  3.1 99.0 99.00 99.00 99.00 999 1017.4  12.0  11.0 999.0 99.0 99.00
2018 06 08 11 24 300  5.1 99.0 99.00 99.00 99.00 999 1017.2  12.2  11.0 999.0 99.0 99.00
2018 06 08 12 24 300  6.2 99.0 99.00 99.00 99.00 999 1017.4  12.6  11.0 999.0 99.0 99.00
2018 06 08 14 24 360  1.5 99.0 99.00 99.00 99.00 999 1018.4  11.6  11.0 999.0 99.0 99.00
2018 06 08 15 24  70  0.5 99.0 99.00 99.00 99.00 999 1019.1  11.0  11.1 999.0 99.0 99.00
2018 06 08 16 24  60  1.5 99.0 99.00 99.00 99.00 999 1019.0  10.7  11.4 999.0 99.0 99.00
2018 06 08 17 24 310  1.5 99.0 99.00 99.00 99.00 999 1019.3  11.5  11.7 999.0 99.0 99.00
2018 06 08 18 14 290  7.2 99.0 99.00 99.00 99.00 999 1018.8  12.5  11.8 999.0 99.0 99.00
2018 06 08 19 04 290  6.2 99.0 99.00 99.00 99.00 999 1018.6  12.4  11.5 999.0 99.0 99.00
2018 06 08 20 04 290  8.2 99.0 99.00 99.00 99.00 999 1018.5  12.4  11.5 999.0 99.0 99.00
2018 06 08 21 04 290  9.3 99.0 99.00 99.00 99.00 999 1018.1  12.6  11.6 999.0 99.0 99.00
2018 06 08 22 04 300  8.2 99.0 99.00 99.00 99.00 999 1017.9  12.6  11.5 999.0 99.0 99.00
2018 06 08 23 04 300  9.3 99.0 99.00 99.00 99.00 999 1017.5  12.7  11.6 999.0 99.0 99.00
2018 06 09 00 04 290 12.4 99.0 99.00 99.00 99.00 999 1016.1  12.7  11.4 999.0 99.0 99.00
2018 06 09 01 04 300 10.3 99.0 99.00 99.00 99.00 999 1016.2  12.9  11.3 999.0 99.0 99.00
2018 06 09 02 04 290 10.3 99.0 99.00 99.00 99.00 999 1016.1  12.8  11.2 999.0 99.0 99.00
2018 06 09 03 04 310  8.8 99.0 99.00 99.00 99.00 999 1016.6  12.8  11.1 999.0 99.0 99.00
2018 06 09 04 04 320  7.2 99.0 99.00 99.00 99.00 999 1017.2  12.6  11.0 999.0 99.0 99.00
